Timestamp,DeviceId,DeviceName,ActionType,LogonType,AccountDomain,AccountName,AccountSid,Protocol,FailureReason,IsLocalAdmin,LogonId,RemoteDeviceName,RemoteIP,RemoteIPType,RemotePort,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessAccountObjectId,InitiatingProcessIntegrityLevel,InitiatingProcessTokenElevation,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessMD5,InitiatingProcessFileName,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessId,InitiatingProcessCommandLine,InitiatingProcessCreationTime,InitiatingProcessFolderPath,InitiatingProcessParentId,InitiatingProcessParentFileName,InitiatingProcessParentCreationTime,ReportId,AppGuardContainerId,AdditionalFields,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,InitiatingProcessUniqueId
"Sep 20, 2025 7:41:52 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,font driver host,umfd-2,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,System,TokenElevationTypeDefault,df0e853110c9f2dccee9974bf255c73b8772b935,888ac24eeaea44fcf0aa54cab7df82c1ddd3a5cee500715763e5ca01e0b049ff,969130f8c1e0648a40c4ad95ad9103df,winlogon.exe,945152,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,winlogon,WINLOGON.EXE,Windows Logon Application,3172,winlogon.exe,"Sep 20, 2025 7:41:51 PM",c:\windows\system32\winlogon.exe,4672,smss.exe,"Sep 20, 2025 7:41:51 PM",2428,,,2,0,,,14073748835533053
"Sep 20, 2025 7:41:49 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Network,slflarewinsysmo,slflare,S-1-5-21-415952123-3427508315-3774372505-500,NTLM,,,4161504,sanc-main,159.26.106.84,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,2434,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 20, 2025 7:41:49 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Network,slflarewinsysmo,slflare,S-1-5-21-415952123-3427508315-3774372505-500,,,1,,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,5874c705ebb39053378b2aa653a707e31541ad1f,055a1226a769948a79ed0972bdee2d91937c4b521e0b9046f9b8ccc63d110115,ab99fc696eabb46c10e79e3a17d0fde9,lsass.exe,61072,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6328,lsass.exe,lsass.exe,Local Security Authority Process,740,lsass.exe,"Sep 20, 2025 7:32:06 PM",c:\windows\system32\lsass.exe,636,wininit.exe,"Sep 20, 2025 7:32:05 PM",2406,,{},0,0,,,14073748835532812
"Sep 20, 2025 7:34:59 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,1069,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 20, 2025 7:32:07 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,window manager,dwm-1,S-1-5-90-0-1,Negotiate,,,63295,,,,,,,,,,,None,,,,,,,,,,,,728,,Invalid date,,0,,Invalid date,231,,"{""IsLocalLogon"":true}",0,0,,,0
"Sep 20, 2025 7:32:07 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,window manager,dwm-1,S-1-5-90-0-1,Negotiate,,,62823,,,,,,,,,,,None,,,,,,,,,,,,728,,Invalid date,,0,,Invalid date,230,,"{""IsLocalLogon"":true}",0,0,,,0
"Sep 20, 2025 7:32:07 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,window manager,dwm-1,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,,None,,,,,,,,,,,,728,,Invalid date,,0,,Invalid date,229,,,0,0,,,0
"Sep 20, 2025 7:32:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,font driver host,umfd-0,S-1-5-96-0-0,Negotiate,,,38920,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,39a63e89c66f4f72f51531c045c891efd62cdd08,ba26910be549b8700c08fbe2f160952288864470a30dd35c3c6b7782f7dbf857,0774f3ce67b739aa9511254686259324,wininit.exe,442728,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,WinInit,WinInit.exe,Windows Start-Up Application,636,wininit.exe,"Sep 20, 2025 7:32:05 PM",c:\windows\system32\wininit.exe,560,smss.exe,"Sep 20, 2025 7:32:05 PM",46,,"{""IsLocalLogon"":true}",0,0,,,14073748835532808
"Sep 20, 2025 7:32:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,font driver host,umfd-0,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,System,TokenElevationTypeDefault,39a63e89c66f4f72f51531c045c891efd62cdd08,ba26910be549b8700c08fbe2f160952288864470a30dd35c3c6b7782f7dbf857,0774f3ce67b739aa9511254686259324,wininit.exe,442728,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,WinInit,WinInit.exe,Windows Start-Up Application,636,wininit.exe,"Sep 20, 2025 7:32:05 PM",c:\windows\system32\wininit.exe,560,smss.exe,"Sep 20, 2025 7:32:05 PM",45,,,0,0,,,14073748835532808
"Sep 20, 2025 7:32:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,font driver host,umfd-1,S-1-5-96-0-1,Negotiate,,,38865,,,,,,,,,,,None,,,,,,,,,,,,728,,Invalid date,,0,,Invalid date,228,,"{""IsLocalLogon"":true}",0,0,,,0
"Sep 20, 2025 7:32:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,font driver host,umfd-1,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,,None,,,,,,,,,,,,728,,Invalid date,,0,,Invalid date,227,,,0,0,,,0
